Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-17 08:02:38,2022-01-17 08:02:40,1.846s,PASSED
"navigateToUrl(""http://localhost:8080/"")",Chrome 97.0.4692.71,,,2022-01-17 08:02:40,2022-01-17 08:02:42,1.845s,PASSED
"click(findTestObject(""Object Repository/Page_Element/div_Create Account""))",Chrome 97.0.4692.71,,,2022-01-17 08:02:42,2022-01-17 08:03:12,30.661s,PASSED
"setText(findTestObject(""Object Repository/Page_Element/input_Or_mx_RegistrationForm_username""), ""quanghuyyy"")",Chrome 97.0.4692.71,,,2022-01-17 08:03:12,2022-01-17 08:04:13,1m - 0.272s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Element/input_Username_mx_RegistrationForm_password""), ""hk4lGgMz64ADmWBUEkMbyw=="")",Chrome 97.0.4692.71,,,2022-01-17 08:04:13,2022-01-17 08:04:43,30.248s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Element/input_Password_mx_RegistrationForm_passwordConfirm""), ""hk4lGgMz64ADmWBUEkMbyw=="")",Chrome 97.0.4692.71,,,2022-01-17 08:04:43,2022-01-17 08:05:13,30.229s,PASSED
"click(findTestObject(""Object Repository/Page_Element/input_Email_mx_Login_submit""))",Chrome 97.0.4692.71,,,2022-01-17 08:05:13,2022-01-17 08:05:43,30.155s,PASSED
"click(findTestObject(""Object Repository/Page_Element/div_Create accountHost account onmatrix.org_6b4dd0""))",Chrome 97.0.4692.71,,,2022-01-17 08:05:43,2022-01-17 08:06:13,30.153s,PASSED
,,,,,,,
Test Cases/Sign in with multiple platforms/Sign in with facebook,Chrome 97.0.4692.71,,,2022-01-17 08:06:13,2022-01-17 08:07:30,1m - 16.659s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-17 08:06:14,2022-01-17 08:06:16,1.864s,PASSED
"navigateToUrl(""http://localhost:8080/"")",Chrome 97.0.4692.71,,,2022-01-17 08:06:16,2022-01-17 08:06:18,1.831s,PASSED
"click(findTestObject(""Object Repository/Page_Element/a_Sign In""))",Chrome 97.0.4692.71,,,2022-01-17 08:06:18,2022-01-17 08:06:48,30.667s,PASSED
"click(findTestObject(""Object Repository/Page_Element/div_Forgot password_mx_AccessibleButton mx__35ae1c""))",Chrome 97.0.4692.71,,,2022-01-17 08:06:48,2022-01-17 08:07:22,33.319s,PASSED
"setText(findTestObject(""Object Repository/Page_Log in to Facebook  Facebook/input_Log in to Facebook_email""), ""0983968160"")",Chrome 97.0.4692.71,,,2022-01-17 08:07:22,2022-01-17 08:07:22,0.798s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Log in to Facebook  Facebook/input_Log in to Facebook_pass""), ""n96v9XD7GiYYeIhd8A/xmw=="")",Chrome 97.0.4692.71,,,2022-01-17 08:07:22,2022-01-17 08:07:23,0.734s,PASSED
"click(findTestObject(""Object Repository/Page_Log in to Facebook  Facebook/button_Log In""))",Chrome 97.0.4692.71,,,2022-01-17 08:07:23,2022-01-17 08:07:24,0.498s,PASSED
"click(findTestObject(""Object Repository/Page_Continue to your account/a_Continue""))",Chrome 97.0.4692.71,,,2022-01-17 08:07:24,2022-01-17 08:07:30,6.403s,PASSED
,,,,,,,
Test Cases/Sign in with multiple platforms/Sign in with github,Chrome 97.0.4692.71,,,2022-01-17 08:07:30,2022-01-17 08:08:13,42.457s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-17 08:07:31,2022-01-17 08:07:33,2.094s,PASSED
"navigateToUrl(""http://localhost:8080/"")",Chrome 97.0.4692.71,,,2022-01-17 08:07:33,2022-01-17 08:07:35,1.869s,PASSED
"click(findTestObject(""Object Repository/Page_Element/a_Sign In""))",Chrome 97.0.4692.71,,,2022-01-17 08:07:35,2022-01-17 08:07:38,3.324s,PASSED
"click(findTestObject(""Object Repository/Page_Element/div_Forgot password_mx_AccessibleButton mx__5d3fbf""))",Chrome 97.0.4692.71,,,2022-01-17 08:07:38,2022-01-17 08:08:10,32.165s,PASSED
"setText(findTestObject(""Object Repository/Page_Sign in to GitHub  GitHub/input_Username or email address_login""), ""quanghuy2701"")",Chrome 97.0.4692.71,,,2022-01-17 08:08:10,2022-01-17 08:08:11,0.841s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Sign in to GitHub  GitHub/input_Password_password""), ""hk4lGgMz64Dt/7aG6vaJCw=="")",Chrome 97.0.4692.71,,,2022-01-17 08:08:11,2022-01-17 08:08:11,0.451s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Sign in to GitHub  GitHub/input_Password_password""), Keys.chord(ENTER))",Chrome 97.0.4692.71,,,2022-01-17 08:08:11,2022-01-17 08:08:13,1.275s,PASSED
,,,,,,,
Test Cases/Sign in with multiple platforms/Sign in with gitlab,Chrome 97.0.4692.71,,,2022-01-17 08:08:13,2022-01-17 08:08:13,0.318s,PASSED
return null,Chrome 97.0.4692.71,,,2022-01-17 08:08:13,2022-01-17 08:08:13,0.000s,PASSED
,,,,,,,
Test Cases/Sign in manually/Setting vietnamese phone number for the account,Chrome 97.0.4692.71,,,2022-01-17 08:08:13,2022-01-17 08:17:21,9m - 7.951s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-17 08:08:13,2022-01-17 08:08:15,1.929s,PASSED
"navigateToUrl(""http://localhost:8080/"")",Chrome 97.0.4692.71,,,2022-01-17 08:08:15,2022-01-17 08:08:17,1.732s,PASSED
"click(findTestObject(""Object Repository/Page_Element/a_Sign In""))",Chrome 97.0.4692.71,,,2022-01-17 08:08:17,2022-01-17 08:08:48,30.652s,PASSED
"setText(findTestObject(""Object Repository/Page_Element/input_Sign in with_username""), ""quanghuyne"")",Chrome 97.0.4692.71,,,2022-01-17 08:08:48,2022-01-17 08:09:48,1m - 0.322s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Element/input_Username_password""), ""hk4lGgMz64DUYAH1jDReqA=="")",Chrome 97.0.4692.71,,,2022-01-17 08:09:48,2022-01-17 08:10:18,30.235s,PASSED
"click(findTestObject(""Object Repository/Page_Element/input_Forgot password_mx_Login_submit""))",Chrome 97.0.4692.71,,,2022-01-17 08:10:18,2022-01-17 08:10:48,30.151s,PASSED
"click(findTestObject(""Object Repository/Page_Element/button_Reset all""))",Chrome 97.0.4692.71,,,2022-01-17 08:10:48,2022-01-17 08:11:18,30.158s,PASSED
"click(findTestObject(""Object Repository/Page_Element/div_Proceed with reset""))",Chrome 97.0.4692.71,,,2022-01-17 08:11:18,2022-01-17 08:11:49,30.167s,PASSED
"click(findTestObject(""Object Repository/Page_Element/button_Cancel""))",Chrome 97.0.4692.71,,,2022-01-17 08:11:49,2022-01-17 08:12:19,30.226s,PASSED
"click(findTestObject(""Object Repository/Page_Element/button_Cancel""))",Chrome 97.0.4692.71,,,2022-01-17 08:12:19,2022-01-17 08:12:49,30.122s,PASSED
"click(findTestObject(""Object Repository/Page_Element/img_Enable_mx_BaseAvatar_image""))",Chrome 97.0.4692.71,,,2022-01-17 08:12:49,2022-01-17 08:13:19,30.259s,PASSED
"click(findTestObject(""Object Repository/Page_Element/span_All settings""))",Chrome 97.0.4692.71,,,2022-01-17 08:13:19,2022-01-17 08:13:49,30.260s,PASSED
"click(findTestObject(""Object Repository/Page_Element/input__mx_Field_10""))",Chrome 97.0.4692.71,,,2022-01-17 08:13:49,2022-01-17 08:14:20,30.288s,PASSED
"click(findTestObject(""Object Repository/Page_Element/span_44""))",Chrome 97.0.4692.71,,,2022-01-17 08:14:20,2022-01-17 08:14:50,30.296s,PASSED
"click(findTestObject(""Object Repository/Page_Element/div_Vietnam (84)""))",Chrome 97.0.4692.71,,,2022-01-17 08:14:50,2022-01-17 08:15:20,30.163s,PASSED
"setText(findTestObject(""Object Repository/Page_Element/input__mx_Field_10""), ""0983968160"")",Chrome 97.0.4692.71,,,2022-01-17 08:15:20,2022-01-17 08:16:21,1m - 0.320s,PASSED
"click(findTestObject(""Object Repository/Page_Element/div_Add""))",Chrome 97.0.4692.71,,,2022-01-17 08:16:21,2022-01-17 08:16:51,30.171s,PASSED
"click(findTestObject(""Object Repository/Page_Element/button_OK""))",Chrome 97.0.4692.71,,,2022-01-17 08:16:51,2022-01-17 08:17:21,30.157s,PASSED
,,,,,,,
Test Cases/Sign in manually/Sign in with email address,Chrome 97.0.4692.71,,,2022-01-17 08:17:21,2022-01-17 08:19:29,2m - 8.443s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-17 08:17:21,2022-01-17 08:17:23,1.964s,PASSED
"navigateToUrl(""http://localhost:8080/"")",Chrome 97.0.4692.71,,,2022-01-17 08:17:23,2022-01-17 08:17:25,1.729s,PASSED
"click(findTestObject(""Object Repository/Page_Element/div_Sign In""))",Chrome 97.0.4692.71,,,2022-01-17 08:17:25,2022-01-17 08:17:28,3.447s,PASSED
"setText(findTestObject(""Object Repository/Page_Element/input_Sign in with_username""), ""quanghuybui93@gmail.com"")",Chrome 97.0.4692.71,,,2022-01-17 08:17:28,2022-01-17 08:18:29,1m - 0.448s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Element/input_Username_password""), ""hk4lGgMz64DUYAH1jDReqA=="")",Chrome 97.0.4692.71,,,2022-01-17 08:18:29,2022-01-17 08:18:59,30.295s,PASSED
"click(findTestObject(""Object Repository/Page_Element/input_Forgot password_mx_Login_submit""))",Chrome 97.0.4692.71,,,2022-01-17 08:18:59,2022-01-17 08:19:29,30.235s,PASSED
,,,,,,,
Test Cases/Sign in manually/Sign in with username,Chrome 97.0.4692.71,,,2022-01-17 08:19:29,2022-01-17 08:21:38,2m - 8.582s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-17 08:19:30,2022-01-17 08:19:32,1.879s,PASSED
"navigateToUrl(""http://localhost:8080/"")",Chrome 97.0.4692.71,,,2022-01-17 08:19:32,2022-01-17 08:19:33,1.777s,PASSED
"click(findTestObject(""Object Repository/Page_Element/div_Sign In""))",Chrome 97.0.4692.71,,,2022-01-17 08:19:33,2022-01-17 08:19:37,3.687s,PASSED
"setText(findTestObject(""Object Repository/Page_Element/input_Sign in with_username""), ""quanghuyne"")",Chrome 97.0.4692.71,,,2022-01-17 08:19:37,2022-01-17 08:20:37,1m - 0.413s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Element/input_Username_password""), ""hk4lGgMz64DUYAH1jDReqA=="")",Chrome 97.0.4692.71,,,2022-01-17 08:20:37,2022-01-17 08:21:08,30.230s,PASSED
"click(findTestObject(""Object Repository/Page_Element/input_Forgot password_mx_Login_submit""))",Chrome 97.0.4692.71,,,2022-01-17 08:21:08,2022-01-17 08:21:38,30.216s,PASSED
,,,,,,,
Test Cases/Sign in manually/Sign in with wrong password,Chrome 97.0.4692.71,,,2022-01-17 08:21:38,2022-01-17 08:24:17,2m - 39.461s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-17 08:21:38,2022-01-17 08:21:41,2.549s,PASSED
"navigateToUrl(""http://localhost:8080/"")",Chrome 97.0.4692.71,,,2022-01-17 08:21:41,2022-01-17 08:21:43,1.791s,PASSED
"click(findTestObject(""Object Repository/Page_Element/a_Sign In""))",Chrome 97.0.4692.71,,,2022-01-17 08:21:43,2022-01-17 08:21:46,3.769s,PASSED
"setText(findTestObject(""Object Repository/Page_Element/input_Sign in with_username""), ""quanghuyne"")",Chrome 97.0.4692.71,,,2022-01-17 08:21:46,2022-01-17 08:22:47,1m - 0.335s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Element/input_Username_password""), ""hk4lGgMz64A6VWkU4ftybPhnP1Qb4byR"")",Chrome 97.0.4692.71,,,2022-01-17 08:22:47,2022-01-17 08:23:17,30.238s,PASSED
"click(findTestObject(""Object Repository/Page_Element/input_Forgot password_mx_Login_submit""))",Chrome 97.0.4692.71,,,2022-01-17 08:23:17,2022-01-17 08:23:47,30.189s,PASSED
"click(findTestObject(""Object Repository/Page_Element/div_Incorrect username andor password""))",Chrome 97.0.4692.71,,,2022-01-17 08:23:47,2022-01-17 08:24:17,30.149s,PASSED
,,,,,,,
Test Cases/Sign in manually/Sign in with wrong username,Chrome 97.0.4692.71,,,2022-01-17 08:24:17,2022-01-17 08:27:54,3m - 36.188s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-17 08:24:18,2022-01-17 08:24:20,2.025s,PASSED
"navigateToUrl(""http://localhost:8080/"")",Chrome 97.0.4692.71,,,2022-01-17 08:24:20,2022-01-17 08:24:22,1.943s,PASSED
"click(findTestObject(""Object Repository/Page_Element/a_Sign In""))",Chrome 97.0.4692.71,,,2022-01-17 08:24:22,2022-01-17 08:24:52,30.747s,PASSED
"setText(findTestObject(""Object Repository/Page_Element/input_Sign in with_username""), ""ưqdhkahshdhahksd"")",Chrome 97.0.4692.71,,,2022-01-17 08:24:52,2022-01-17 08:25:53,1m - 0.383s,PASSED
"click(findTestObject(""Object Repository/Page_Element/div_Password""))",Chrome 97.0.4692.71,,,2022-01-17 08:25:53,2022-01-17 08:26:23,30.153s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Element/input_Username_password""), ""hk4lGgMz64DUYAH1jDReqA=="")",Chrome 97.0.4692.71,,,2022-01-17 08:26:23,2022-01-17 08:26:53,30.255s,PASSED
"click(findTestObject(""Object Repository/Page_Element/input_Forgot password_mx_Login_submit""))",Chrome 97.0.4692.71,,,2022-01-17 08:26:53,2022-01-17 08:27:23,30.163s,PASSED
"click(findTestObject(""Object Repository/Page_Element/div_Incorrect username andor password""))",Chrome 97.0.4692.71,,,2022-01-17 08:27:23,2022-01-17 08:27:54,30.180s,PASSED
,,,,,,,
Test Cases/Sign in manually/Sign in without inputting username and password,Chrome 97.0.4692.71,,,2022-01-17 08:27:54,2022-01-17 08:29:03,1m - 9.405s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-17 08:27:54,2022-01-17 08:27:57,2.514s,PASSED
"navigateToUrl(""http://localhost:8080/"")",Chrome 97.0.4692.71,,,2022-01-17 08:27:57,2022-01-17 08:27:59,2.287s,PASSED
"click(findTestObject(""Object Repository/Page_Element/div_Sign In""))",Chrome 97.0.4692.71,,,2022-01-17 08:27:59,2022-01-17 08:28:02,3.281s,PASSED
"click(findTestObject(""Object Repository/Page_Element/input_Forgot password_mx_Login_submit""))",Chrome 97.0.4692.71,,,2022-01-17 08:28:02,2022-01-17 08:28:33,30.263s,PASSED
"click(findTestObject(""Object Repository/Page_Element/div_Sign inHomeservermatrix.orgEditJoin mil_eab958""))",Chrome 97.0.4692.71,,,2022-01-17 08:28:33,2022-01-17 08:29:03,30.253s,PASSED
,,,,,,,
Test Cases/Create a new space/Create a private space with an empty name,Chrome 97.0.4692.71,,,2022-01-17 08:29:03,2022-01-17 08:35:47,6m - 44.473s,PASSED
"openBrowser("""")",Chrome 97.0.4692.71,,,2022-01-17 08:29:03,2022-01-17 08:29:07,3.536s,PASSED
"navigateToUrl(""http://localhost:8080/"")",Chrome 97.0.4692.71,,,2022-01-17 08:29:07,2022-01-17 08:29:09,2.370s,PASSED
"click(findTestObject(""Object Repository/Page_Element/a_Sign In""))",Chrome 97.0.4692.71,,,2022-01-17 08:29:09,2022-01-17 08:29:14,4.754s,PASSED
"setText(findTestObject(""Object Repository/Page_Element/input_Sign in with_username""), ""quanghuyne"")",Chrome 97.0.4692.71,,,2022-01-17 08:29:14,2022-01-17 08:30:14,1m - 0.314s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Element/input_Username_password""), ""hk4lGgMz64DUYAH1jDReqA=="")",Chrome 97.0.4692.71,,,2022-01-17 08:30:14,2022-01-17 08:30:45,30.244s,PASSED
"click(findTestObject(""Object Repository/Page_Element/input_Forgot password_mx_Login_submit""))",Chrome 97.0.4692.71,,,2022-01-17 08:30:45,2022-01-17 08:31:15,30.205s,PASSED
"click(findTestObject(""Object Repository/Page_Element/button_Reset all""))",Chrome 97.0.4692.71,,,2022-01-17 08:31:15,2022-01-17 08:31:46,31.353s,PASSED
"click(findTestObject(""Object Repository/Page_Element/div_Proceed with reset""))",Chrome 97.0.4692.71,,,2022-01-17 08:31:46,2022-01-17 08:32:16,30.154s,PASSED
"click(findTestObject(""Object Repository/Page_Element/button_Cancel""))",Chrome 97.0.4692.71,,,2022-01-17 08:32:16,2022-01-17 08:32:47,30.221s,PASSED
"click(findTestObject(""Object Repository/Page_Element/button_Cancel""))",Chrome 97.0.4692.71,,,2022-01-17 08:32:47,2022-01-17 08:33:17,30.134s,PASSED
"click(findTestObject(""Object Repository/Page_Element/div_Enable_mx_SpaceButton_icon""))",Chrome 97.0.4692.71,,,2022-01-17 08:33:17,2022-01-17 08:33:47,30.179s,PASSED
"click(findTestObject(""Object Repository/Page_Element/h3_Private""))",Chrome 97.0.4692.71,,,2022-01-17 08:33:47,2022-01-17 08:34:17,30.148s,PASSED
"click(findTestObject(""Object Repository/Page_Element/div_Create""))",Chrome 97.0.4692.71,,,2022-01-17 08:34:17,2022-01-17 08:34:47,30.181s,PASSED
